# myabc 笔形辅助码数据表（字 -> 笔形码，横1 竖2 撇3 捺4 折5，取前两笔）
#
# 数据来源与 License：
#   本表的笔画顺序原始数据取自 cnchar-order（https://github.com/theajack/cnchar，
#   npm 包 cnchar-order@3.2.6，MIT License，Copyright (c) theajack）。
#   转换方法（详见 docs/decisions/_debt-log.md 2026-09-12）：
#   1. 从 cnchar-order 的 char_stroke_codes 表取每个字的完整笔画顺序（26 个字母
#      分别对应 25 种具体笔画，字母含义已从源码 stroke-table 精确核实，非猜测）。
#   2. 取每个字的前两笔（单笔字只有一笔），按下表归并成智能ABC/郑码惯用的
#      五笔形分类：
#        横(j)、提(i)             -> 1（提归入横，五笔形分类惯例）
#        竖(f)                    -> 2
#        撇(s)                    -> 3
#        点(k)、点2(d)、捺(l)     -> 4（点归入捺）
#        其余（横折/竖折/横钩/竖钩/横撇/竖提/撇折/弯钩/竖弯钩等一切带转折的
#        笔画，源数据里统一标注 type=折笔）-> 5
#   覆盖 cnchar-order 原始数据的全部 6939 个单字条目。
#
# 格式：每行 "<字><TAB><笔形码>"，'#' 开头整行是注释，空行跳过。BihuoTable 对
# 未收录的字一律放行（fail-open，不参与筛选），所以覆盖不到的字不会被误伤。

堑	15
堕	52
堙	12
堞	12
堠	12
堡	32
堤	12
堪	12
堰	12
堵	12
堺	12
塄	12
塌	12
塍	35
塑	43
塔	12
塘	12
塚	12
塞	44
塥	12
填	12
塬	12
塱	45
塾	41
墀	12
墁	12
境	12
墅	25
墉	12
墒	12
墓	12
墙	12
墚	12
增	12
墟	12
墨	25
墩	12
墼	12
壁	51
壅	41
壑	21
壕	12
壤	12
士	12
壬	31
壮	41
声	12
壳	12
壶	12
壹	12
处	35
备	35
复	31
夏	13
夔	43
夕	35
外	35
夙	35
多	35
夜	41
够	35
夤	35
夥	25
大	13
天	11
太	13
夫	11
夭	31
央	25
夯	13
失	31
头	44
夷	15
夸	13
夹	14
夺	13
夼	13
奁	13
奂	35
奄	13
奇	13
奈	13
奉	11
奋	13
奎	13
奏	11
契	11
奔	13
奕	41
奖	41
套	13
奘	52
奚	34
奠	43
奢	13
奥	32
奭	11
女	53
奴	53
奵	53
奶	53
奸	53
她	53
好	53
妁	53
如	53
妃	53
妄	41
妆	41
妇	53
妈	53
妊	53
妍	53
妒	53
妓	53
妖	53
妗	53
妙	53
妞	53
妣	53
妤	53
妥	34
妨	53
妩	53
妪	53
妫	53
妮	53
妯	53
